Title,Title_URL,Image,arow,asizesmall,aiconalt,asizemini,asizebase
"Nearly Natural 35in Artificial Snake Plant, Sansevieria Faux Greenery with Black Planter for Indoor Home Office Decor, Low Maintenance",https://www.amazon.com/Nearly-Natural-4855-Sansevieria-Planter/dp/B00FUNM8MU/ref=sr_1_10?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-10,https://m.media-amazon.com/images/I/61Ohc-lGBpL._AC_UL320_.jpg,4.5,4.5,4.5 out of 5 stars,(2.5K),700+ bought in past month
"Cat Lover Gifts for Women 3D Cat Crystal Ball 3.15"" Her Birthday Gift Night Light Decoration Holding Rose Stuff with Colorful Lighting Base",https://www.amazon.com/ZRENJHUS-Holding-Crystal-Collectibles-Colorful/dp/B0CXJ9VXVV/ref=sr_1_11?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-11,https://m.media-amazon.com/images/I/61ZYoePdnUL._AC_UL320_.jpg,4.8,4.8,4.8 out of 5 stars,(221),50+ bought in past month
"Nearly Natural 42in Artificial Peace Lily Spathiphyllum, Real Touch Silk Plant Faux Greenery for Indoor Home Decor",https://www.amazon.com/Nearly-Natural-8319-Spathiphyllum-Artificial/dp/B07Q13KKL7/ref=sr_1_12?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-12,https://m.media-amazon.com/images/I/71X5illeYiL._AC_UL320_.jpg,4.6,4.6,4.6 out of 5 stars,(289),200+ bought in past month
"Command Medium Matte Black Wall Hook, 2 Coat Hooks and 4 Strips, Damage-Free Hanging with Adhesive, No Tools Great for Hanging Home Decor, Holds up to 3 lb",https://www.amazon.com/Command-Decorative-Hanging-Adhesive-Organizers/dp/B07N2BC377/ref=sr_1_13?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-13,https://m.media-amazon.com/images/I/615KWP+qGZL._AC_UL320_.jpg,4.7,4.7,4.7 out of 5 stars,(6.9K),2K+ bought in past month
"Command 10 lb Medium 16 Pairs Picture Hanging Strips (32 Strips), Damage-Free Hangers for Picture Frames, No Tools Required, Great for Home Room Wall Decor, Black Adhesive",https://www.amazon.com/Command-Picture-Hanging-16-Pairs-PH204BLK-16ES/dp/B073XRDYF4/ref=sr_1_14?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-14,https://m.media-amazon.com/images/I/61WPO5TRkrL._AC_UL320_.jpg,4.5,4.5,4.5 out of 5 stars,(9.1K),3K+ bought in past month
"Farmhouse Plug in Wall Sconces Light Fixture for Bedroom, Living Room, Bamboo Rattan Lantern Lampshade Wood Beam Wall Mounting Hanging Lamp, Vintage Rustic Wall Decor(Without Bulbs)",https://www.amazon.com/Farmhouse-Sconces-Fixture-Lampshade-Mounting/dp/B0C24FJS6J/ref=sr_1_15?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-15,https://m.media-amazon.com/images/I/71-K-H18--L._AC_UL320_.jpg,4.8,4.8,4.8 out of 5 stars,(52),No featured offers available
"ANGELLOONG Gray Flameless Candles with Remote, Battery Operated Candles with Timer, LED Candle Flickering Pillar, Fake Electric Candles for Home Bathroom Shelf Decor, Set of 3",https://www.amazon.com/ANGELLOONG-Operated-Flameless-Flickering-Electric/dp/B0BVLWSWLQ/ref=sr_1_16?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-16,https://m.media-amazon.com/images/I/81P5jCLPaSL._AC_UL320_.jpg,4.2,4.2,4.2 out of 5 stars,(81),No featured offers available
"EAGMAK Set of 8 Coasters for Drinks, Absorbent Marble Style Ceramic Drink Coaster with Holder for Coffee Wooden Table Home Decor(Grey)",https://www.amazon.com/Coasters-EAGMAK-Absorbent-Ceramic-Coaster/dp/B08T773CR3/ref=sr_1_17?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-17,https://m.media-amazon.com/images/I/61j5TiO6Z-L._AC_UL320_.jpg,4.6,4.6,4.6 out of 5 stars,(2.6K),No featured offers available
"Dimmable Wall Sconces Set of Two, Plug in Wall Sconces White Fabric Shade, Wall Lamp for Bedroom, Living room, Plug in Wall Light Sconces Wall Decor Set of 2, LED Bulbs Included, Antique Brass",https://www.amazon.com/Dimmable-Sconces-ENCOMLI-Bathroom-Included/dp/B09NVN4R6F/ref=sr_1_18?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-18,https://m.media-amazon.com/images/I/61OUbM-l1-L._AC_UL320_.jpg,4.6,4.6,4.6 out of 5 stars,(752),50+ bought in past month
"Decoluce Vintage Tripod Floor Lamp, Height Adjustable Wooden Camera Tripod Rotatable Spotlight Tall Standing Light, Nostalgic Cinema Lamps for Living Room, Bedroom, Studios Decor(Black)",https://www.amazon.com/Decoluce-Nautical-Spotlight-Industrial-Fixtures/dp/B076KJDT13/ref=sr_1_19?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-19,https://m.media-amazon.com/images/I/41+vk1U0V1L._AC_UL320_.jpg,4.5,4.5,4.5 out of 5 stars,(923),100+ bought in past month
"Uieke 3 Pack Artificial Sunflower Garland, 7.5ft/Strand Silk Sunflowers Hanging Vines Flowers with Green Leaves for Room Kitchen Garden Birthday Wedding Baby Shower Party Table Decor Large",https://www.amazon.com/Uieke-Artificial-Sunflower-Sunflowers-Birthday/dp/B09QM5XX82/ref=sr_1_20?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-20,https://m.media-amazon.com/images/I/81qgOQNv7KL._AC_UL320_.jpg,4.4,4.4,4.4 out of 5 stars,(1.3K),1K+ bought in past month
"COSYLUX Modern Floor Lamp for Living Room, Industrial Tall Standing Lamp for Bedroom, Metal Shade Reflecting Light Reading Floor Lamp for Office, Nursery Room, Corner(Dark Red)",https://www.amazon.com/COSYLUX-Industrial-Standing-Bedroom-Reflecting/dp/B0CR67T65Y/ref=sr_1_21?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-21,https://m.media-amazon.com/images/I/61ZAz9gZYsL._AC_UL320_.jpg,4.5,4.5,4.5 out of 5 stars,(331),100+ bought in past month
"Easter Bunny LED Tealight Holder - 3D Printed Cute Rabbit Candle Holder for Flameless LED Tea Lights, Spring Easter Home Decor, Fuzzy Cozy Finish（2 Pack (White)",https://www.amazon.com/Easter-Bunny-LED-Tealight-Holder/dp/B0GGDYBS4X/ref=sr_1_22?crid=31M3HPK3WQA7M&dib=eyJ2IjoiMSJ9.6b3T9OFoGnqUOUkjhy0fSFEcgcO_agncFab3dW7OzcoAnEP1tB-f3ozJsRfBYaK3AO-IZZCV-rtNTbuzTFgo_LahJUOdRY8BYPNstlCWYYA7VuP4pJZOD5O1Z5AhGpFdcm1P0ToapWSlkmeBnyLM6heO1n9XDGDNnoUG36YYFaykAon8f9lN4C5A801Nwk-LLu0GZfUkEFQFe_CXrJHEim141Aht2DYzATGaws0CnqenKGq27Zg5unfL0KF0c3AQXRswXNEVMGlrHmmhoyIO7GRssRFT2-ixvGbSq4W0rvg.h9SaIsx2vt3xWooEOSBX6YOh9WfkShEBOntnCUbp2-U&dib_tag=se&keywords=home+decor&qid=1774363364&sprefix=home+deco%2Caps%2C300&sr=8-22,https://m.media-amazon.com/images/I/41AJMhPbT8L._AC_UL320_.jpg,,,,,New on Amazon in past month
